code,product_name,brands,categories,ingredients_text,allergens,labels,countries,serving_size,nutriscore_grade,energy_kcal_100g,fat_100g,saturated_fat_100g,carbohydrates_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g
00031401,Sandwich thon crudités,La toque angevine,"sandwiches, fish sandwiches, tuna sandwiches, sandwich with tuna and vegetables, raw vegetable sandwiches, sandwich made with wholemeal loaf bread and tuna and vegetables and mayonnaise","Pain de mie complet 48,3% (farine complète de blé, eau, huile de colza, gluten de blé, sucre, sel, dextrose, levure, farine de blé, émulsifiant E471, agent de traitement de la farine E300) thon au naturel 20,7% (thon listao, eau, sel), tomates 13,8% mayonnaise allégée en matières grasses 13,8% (eau, huile de colza, vinaigre d'alcool, jaune d'œuf, amidon transformé, sucre, moutarde de Dijon (eau, graine de moutarde, vinaigre d'alcool, sel), sel, lait écrémé reconstitué, acidifiant: E330, épaississant: E415), salade 3,4%. Traces possibles de graines de sésame et soja.",,,france,145 g,,200.0,5.80000019073486,0.600000023841858,23.0,2.90000009536743,3.20000004768372,8.80000019073486,
0005565360208,Breton Ajonjoli,Dare,galletas saladas,"HARINA ENRIQUECIDA (HARINA DE TRIGO, NIACINA, HIERRO REDUCIDO, MONONITRATO DE TIAMINA, RIBOFLAVINA, ÁCIDO FÓLICO), ACEITE DE GIRASOL ALTO OLEICO, GERMEN DE TRIGO Y GERMEN DE TRIGO DESCREMADO, SEMILLAS DE SÉSAMO, AZÚCAR DE CAÑA, SAL MARINA, SALVADO DE TRIGO, LEVADURA (BICARBONATO DE SODIO), SABOR NATURAL.","gluten, sesame seeds","no artificial flavors, no gmos, non gmo project",mexico,,b,90.0,4.0,0.0,0.0,1.0,1.0,2.0,0.35
00057954,sucre de coco,Bulkpowder,,Nectar de Fleur de Coco 100% Biologique ALLERGENES: Les allergènes sont indiqués par les ingrédients figurant en caractères gras.,,,france,100g,,379.0,0.0,0.0,93.0,93.0,0.2,1.6,0.0
00073455,"grilled Cajun chicken breast, spicy wedges & sour cream","Count on US, M&S, Marks & Spencer","meats and their products, meals, meals with meat, poultry meals, meals with chicken, low fat prepared meals","Pommes de terre (29%), Blanc de poulet cuit (23%), Tomates (11%), Eau, Crème aigre britannique (Lait) (8%), Oignons, Poivrons de piquillo (3%), Poivrons rouges, Purée d’ail, Jus de citron vert, Oignons rouges, Concentré de tomate, Huile de colza, Fécule de mais, Épices moulues (Paprika fumé, Cumin, Poivre noir, Poivre blanc, Piment de Cayenne, Paprika), Fécule de pomme de terre, Thym, Vinaigre de cidre, Sel, Coriandre, Eau fumée au bois de chêne d’Anglesey, Sel fumé, Sucre, Piments rouges, Graines de cumin, Huile de tournesol, Vinaigre de vin blanc, Piments Chipotle déshydratés, Tomates séchées, Gélifiant : Pectine, Correcteur d’acidité : Acide citrique, Romarin moulu, Arômes.",milk,"low or no fat, low fat, reduced fat, 35 less fat, fsc, fsc mix, weight watchers","france, united kingdom",350 g,a,83.8,1.6,0.6,7.8,2.7,1.3,8.9,0.25
00075398,courgette spaghetti,Marks and Spencer,,"courgettes en spirale CUISSON Cuisson au MICRO-ONDES conseillée Percer le film et placer à la verticale dans le micro-ondes. 850 W 2 min 311sec. Laisser reposer pendant 1 min. Ouvrir la poche avec précaution et servir. VAPEUR Retirer la totalité de Ilemballage Placer dans un panier-vapeur et cuire à la vapeur au-dessus de : l'eau bouillante pendant 3 min. Veiller à ce que l'eau ne s'évapore pas totalement. Senlirli immédiatement. Ne pas réchauffer après utilisation. IMPORTANT Attention, ce produit sera particulièrement chaud après avoir été réchauffé. INFORMATION Lavé et prêt à ç.ù«e. CONSERVATION À consommer jusqvlauh voir sur le devant de l'emballage. Conserver au réfrigérateur : de OOC à +50C. courgettespiraaltjes BEREIDING Voor het beste resultaat bereiden in de MAGNETRON Prik de folie door en Zet",,,france,,,25.0,0.6,0.1,3.2,2.2,1.1,1.2,0.05
00075473,SUPERGREEN SALAD WITH A FRUITY GINGER DRESSING,M&S FOOD,mixed salad,"Cucumber (21%), Edamame Soybeans (15%), Apple and Ginger Dressing (12%), Apples (11%), Sugar Snap Peas (10%), Broccoli, Courgette, Peas, Spinach, Coriander, Golden Linseed, Hemp Seeds, Sunflower Seeds, Pumpkin Seeds. APPLE AND GINGER DRESSING: Concentrated Apple Juice, Water, Spinach, Ginger Purée, Lime Juice, Mint Infused Sunflower Oil, Salt, Mint, Cornflour, Dried Mustard, Vinegar, Garlic Purée, Lime Leaves, Mustard Husk, Cracked Black Pepper, Rapeseed Oil, Allspice, Turmeric.","apple, mustard, soybeans","vegetarian, source of proteins, vegan, high proteins",united kingdom,1 pack (190 g),a,65.7894736842105,2.9,0.4,4.3,3.9,3.3,3.9,0.4225
00077101,Tuna & sweetcorn,M&S,"meals, prepared salads, meals with fish, salads with fish, tuna salads",Skipjack Tuna Flake · Sweetcorn · Rapeseed Oil · Water · Pasteurised Egg Yolk · Vinegar · Sugar · Salt · Dried Mustard · Ground Black Pepper · Xanthan Gum.,fish,,"france, united kingdom",,c,270.0,21.7,2.4,4.0,1.0,1.2,14.1,0.83
0007789047893,Plain greek yogurt with strawberry fruit spread,,"dairies, fermented foods, fermented milk products, desserts, dairy desserts, fermented dairy desserts, yogurts","Yogurt: cultured pasteurized grade a organic nonfat milk, organic cream. contains the following live and active cultures: l. bulgaricus, s. thermophilus, l. acidophilus, bifidus, l. casei. fruit: organic strawberries, organic cane sugar, pectin, organic locust bean gum, ascorbic acid (vitamin c).",,,united states,1 CONTAINER (150 g),b,93.0,2.67,1.33,10.0,9.33,0.7,8.0,0.0675
0008400048028,Chips,Sun Chips,"snacks, salty snacks, appetizers, chips and fries, crisps, corn chips, flavoured corn crisps","Whole corn, vegetable oil (sunflower, canola oil, and/or corn oil), whole wheat, whole grain brown rice flour, whole oat flour, sugar, less than 2% of tomato powder, salt, cheddar cheese (milk, cheese cultures, salt, enzymes), dextrose, buttermilk, onion powder, whey, yeast, whey protein concentrate, corn maltodextrin, Romano cheese (cow's milk, natural flavors, spices including jalapeño pepper, citric acid, paprika extract).","gluten, milk",,united states,1.5 oz,d,493.835467294126,21.1643771697482,2.35159746330536,65.8447289725501,9.40638985322144,7.05479238991608,9.40638985322144,1.23458866823531
00089227,Tomato & Sausage Pasta Sauce,Marks & Spencer,"condiments, meats and their products, sauces, meat based sauces, pasta sauces, tomato sauces, groceries","Pulpe de tomate (57 %) Saucisse de porc (24 %) (viande de porc (96 %), Sel, poivre noir moulu, Piments . Graines de fenouil) . · Concentré de tomate (6 %). Carottes - Céleri - Vin de Barolo - Huile d'olive vierge extra - Amidon de riz - Sucre : Sel de mer - oignons Ail - Paprika - Poivre noir moulu - Romarin.",celery,"green dot, made in italy",france,170 g e,c,133.0,8.4,2.5,9.1,4.6,1.7,4.3,0.79
